Vector Size,Algorithm,Reads,Writes,Duration
100,Bubble Sort,20973,11085,0
100,Selection Sort,10197,297,0
100,Merge Sort,2364,1344,0
100,Heap Sort,4132,1672,0
100,Two Sort,11481,4091,0
200,Bubble Sort,81824,42330,1
200,Selection Sort,40397,597,0
200,Merge Sort,5548,3088,0
200,Heap Sort,13536,5718,0
200,Two Sort,43126,14906,0
300,Bubble Sort,189307,99789,4
300,Selection Sort,90597,897,0
300,Merge Sort,9046,4976,0
300,Heap Sort,25183,10053,0
300,Two Sort,100985,34459,1
400,Bubble Sort,340743,181353,9
400,Selection Sort,160797,1197,1
400,Merge Sort,12718,6976,1
400,Heap Sort,37994,15394,0
400,Two Sort,182949,62047,2
500,Bubble Sort,536559,287439,12
500,Selection Sort,250997,1497,1
500,Merge Sort,16504,8976,1
500,Heap Sort,51549,20719,1
500,Two Sort,289435,97809,4
600,Bubble Sort,777657,418287,18
600,Selection Sort,361197,1797,2
600,Merge Sort,20532,11152,2
600,Heap Sort,68860,28586,1
600,Two Sort,420683,141825,6
700,Bubble Sort,1062804,573546,24
700,Selection Sort,491397,2097,2
700,Merge Sort,24646,13352,2
700,Heap Sort,88278,38002,1
700,Two Sort,576342,193978,8
800,Bubble Sort,1398863,759705,30
800,Selection Sort,641597,2397,3
800,Merge Sort,28700,15552,2
800,Heap Sort,107975,46095,2
800,Two Sort,762901,256431,11
900,Bubble Sort,1774641,965781,39
900,Selection Sort,811797,2697,4
900,Merge Sort,32914,17752,2
900,Heap Sort,127718,54614,2
900,Two Sort,969377,325523,14
1000,Bubble Sort,2193393,1194393,48
1000,Selection Sort,1001997,2997,5
1000,Merge Sort,36940,19952,2
1000,Heap Sort,150448,64004,2
1000,Two Sort,1198389,402127,17
